,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q11.1,Q12.1,Q13.1,Q14.1,Q24,Q17,Q18,Q9,Q10.1
10,3,4,4,1,4,4,4,3,3,2,0,2,5,1,4,2,2,3,3,4,2,1,3,0,0,3,0,4,0,0,0,0,4,3,1,0,0.0,0,2,miaborjaac,0,0.0,0,2,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
11,5,3,5,1,1,4,6,6,6,6,4,6,0,4,5,4,6,5,5,0,6,4,6,2,0,5,4,6,1,4,0,2,6,5,3,0,0.0,1,2,Yelis3,0,0.0,1,2,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",1,Hispanic/Latino,Yes,Top 10
12,4,5,3,4,4,5,4,4,5,5,5,4,3,4,4,4,4,2,4,3,4,3,3,4,3,3,5,4,4,4,5,3,5,4,2,2,2.0,0,4,jorge52an,2,2.0,0,4,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Average
13,0,3,4,3,0,5,5,3,3,4,4,5,5,5,3,4,4,4,4,3,4,5,3,3,3,4,3,4,3,4,3,2,5,5,1,0,0.0,0,3,djsanabriac,0,0.0,0,3,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
14,0,4,4,4,4,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,4,3,4,3,1,3,1,5,0,1,0,3,3,3,1,0,0.0,2,5,andfsanchezlem,0,0.0,2,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
15,5,5,4,4,3,6,5,5,5,5,3,4,6,6,5,6,5,5,4,5,5,4,4,1,1,4,1,5,0,5,0,5,5,5,2,0,0.0,0,4,juasmartinezbel,0,0.0,0,4,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,Yes,Average
16,3,5,5,4,5,5,5,4,5,4,3,4,4,5,4,4,5,3,3,3,4,4,4,4,4,6,4,6,1,5,3,5,6,6,2,0,0.0,3,2,kgbayala528,0,0.0,3,2,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,Yes,Average
17,4,3,6,4,6,3,6,6,6,6,3,5,2,5,6,6,6,6,6,4,6,4,5,2,2,5,3,6,1,5,1,5,4,4,4,0,0.0,0,5,JoseMolano,0,0.0,0,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Top 3
18,0,5,3,1,3,3,6,6,5,6,5,4,4,4,5,4,3,4,5,3,3,3,3,2,3,4,4,6,2,2,2,2,6,5,2,0,0.0,8,2,daandradec,0,0.0,8,2,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Native American/American Indian,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
19,4,4,5,1,4,4,6,5,2,5,3,5,3,5,5,6,6,5,4,5,3,4,5,6,1,5,3,6,3,3,1,5,5,4,2,0,0.0,0,3,CSebasGomez,0,0.0,0,3,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Average
20,5,2,4,3,1,3,5,4,3,3,4,4,6,4,2,5,3,4,1,3,4,3,5,5,2,4,3,4,0,1,2,3,2,0,1,1,2.0,3,2,wilson911013,1,2.0,3,2,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
21,3,5,6,5,6,5,5,6,5,5,4,5,4,3,5,2,5,4,3,4,4,4,5,2,3,2,3,4,0,1,2,2,3,4,2,0,3.0,0,8,pcberriop,0,3.0,0,8,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
22,3,4,4,3,4,5,5,6,4,5,2,4,5,2,5,3,4,5,3,2,5,5,4,1,0,2,0,5,0,2,0,3,5,5,2,0,0.0,0,2,bdcajicam,0,0.0,0,2,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,2,1.0,5,2,ykchautai,2,1.0,5,2,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",1,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
24,5,6,6,4,6,6,6,6,6,6,3,5,3,4,6,4,6,5,4,6,4,3,5,2,1,5,1,5,0,3,3,0,5,6,2,1,0.0,0,2,ronaldsg20,1,0.0,0,2,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
25,3,5,4,4,2,5,4,0,2,5,4,5,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,1,4,2.0,2,1,jjrodriguezn,4,2.0,2,1,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
26,6,4,6,1,3,6,5,3,3,6,5,6,6,0,5,5,5,5,3,5,5,1,5,1,5,4,1,4,0,1,0,4,0,0,1,0,0.0,0,3,stevenbustos,0,0.0,0,3,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
27,4,6,4,5,4,4,5,5,4,5,0,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,3,0,0.0,1,5,jhcardenasa,0,0.0,1,5,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
28,3,4,5,3,5,4,5,5,5,4,2,5,6,4,4,5,5,5,4,5,4,4,5,4,3,5,3,6,3,3,3,4,5,5,2,0,1.0,1,10,jmalvarezd,0,1.0,1,10,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
29,3,3,4,3,4,5,5,4,4,3,3,3,5,4,5,5,5,5,4,5,4,5,4,4,3,4,4,5,3,3,3,3,4,2,2,0,1.0,1,8,Judgarciani,0,1.0,1,8,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
30,5,5,6,4,5,5,6,5,5,5,5,4,5,4,5,5,6,4,5,4,5,5,5,4,3,4,5,5,1,2,1,1,4,4,3,5,0.0,5,3,dasalgadob,5,0.0,5,3,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
31,3,4,5,1,4,3,6,5,3,4,2,4,6,2,5,4,5,6,1,4,2,1,5,3,1,5,1,5,1,4,1,3,4,3,1,0,0.0,10,5,debeltranc,0,0.0,10,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
32,3,5,6,4,4,5,6,4,5,5,5,6,3,5,6,4,6,5,4,4,5,4,5,5,4,5,6,6,4,3,3,3,6,5,3,15,0.0,1,3,jesusfchavarro,15,0.0,1,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
33,2,5,5,4,4,5,5,5,5,3,6,5,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,6,5,3,15,0.0,1,3,jesusfchavarro,15,0.0,1,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
34,0,0,1,0,0,0,4,0,0,1,4,0,6,6,3,5,3,3,5,2,5,5,2,3,2,3,4,4,0,1,0,2,4,4,1,0,0.0,1,10,macuestap,0,0.0,1,10,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
35,3,5,5,3,5,5,6,5,5,5,4,6,3,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,3,3,3,4,4,2,2,0.0,0,5,janoguerab,2,0.0,0,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
36,0,6,3,0,1,5,4,2,5,3,1,4,5,4,3,2,4,3,4,3,4,3,5,1,2,2,2,1,1,3,3,1,4,3,2,1,0.0,0,4,ncampuzano,1,0.0,0,4,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
37,4,6,6,4,6,5,6,6,6,6,2,6,1,5,6,6,6,6,4,4,4,5,6,5,4,6,6,6,4,4,5,5,6,5,4,3,1.0,39,10,jonatan360,3,1.0,39,10,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 3
38,3,5,6,6,6,4,5,5,5,6,5,0,4,5,5,4,6,5,5,3,5,5,6,5,1,6,5,6,3,3,4,3,6,3,1,0,1.0,2,8,CamiloRueda,0,1.0,2,8,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
39,0,0,0,0,0,0,5,2,0,5,4,1,6,4,2,3,1,6,6,5,6,6,6,6,1,4,4,4,4,1,3,4,5,4,1,0,0.0,0,1,dfhincapiem,0,0.0,0,1,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
40,0,4,3,3,4,4,6,5,5,5,5,4,4,5,5,6,5,5,2,2,2,2,5,4,5,6,1,5,1,1,1,1,5,4,2,0,0.0,0,0,JuanitoAli,0,0.0,0,0,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
41,5,5,3,4,3,4,5,5,4,4,3,4,6,5,5,5,5,5,5,5,5,5,5,0,0,4,0,5,0,1,0,1,5,6,2,0,0.0,30,5,DianaNavarrete,0,0.0,30,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",1,Prefer not to respond,Yes,Average
42,5,3,5,3,3,4,4,4,4,4,3,3,6,5,5,5,5,5,3,3,3,3,4,6,4,6,6,6,3,3,4,4,6,6,0,0,0.0,0,2,wolfstain,0,0.0,0,2,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",bottom of the class
43,1,5,5,3,4,5,5,5,5,3,1,4,5,4,5,5,5,5,4,3,3,3,4,2,1,4,2,5,1,0,1,0,4,4,2,0,0.0,0,2,ccvacad,0,0.0,0,2,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
44,4,5,3,5,2,6,6,4,5,6,5,4,6,6,5,5,4,4,4,5,4,6,4,4,5,5,6,6,4,5,5,6,6,5,2,3,3.0,0,4,Chranium,3,3.0,0,4,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
45,1,5,2,3,3,5,5,4,4,4,3,2,5,1,6,5,3,4,2,5,5,3,4,4,1,5,3,5,0,1,0,1,4,3,2,3,0.0,5,10,cap182,3,0.0,5,10,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
46,3,5,3,4,4,4,6,6,5,5,4,5,1,5,6,6,4,6,6,2,5,4,5,5,6,4,6,5,5,4,5,5,6,5,4,15,3.0,4,3,helmeraac,15,3.0,4,3,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 3
47,3,4,3,4,5,3,5,4,5,4,4,3,5,4,5,5,5,5,4,4,3,4,4,3,3,3,3,5,1,2,1,1,4,5,1,0,0.0,6,4,bdvegat,0,0.0,6,4,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
48,4,3,3,3,3,3,4,3,1,3,1,2,6,5,3,5,4,5,4,5,3,3,5,5,1,5,5,5,2,1,0,2,5,5,2,0,0.0,40,3,lizzyt10h,0,0.0,40,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",1,Hispanic/Latino,Yes,Average
49,3,4,4,1,3,4,4,3,2,4,0,3,4,2,4,4,4,3,4,4,4,3,4,2,1,3,1,4,1,1,1,3,5,5,1,0,0.0,5,3,Moimolcp,0,0.0,5,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
50,3,6,6,6,6,6,5,4,5,6,5,5,3,6,5,5,5,5,3,3,4,3,4,5,5,6,3,6,2,3,2,4,4,5,4,1,0.0,0,3,fevargasmo,1,0.0,0,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Top 3
51,0,4,5,0,4,5,5,5,5,5,0,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,1,1,3,3,2,10,0.0,60,0,ligibrial,10,0.0,60,0,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",1,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
52,4,2,2,3,5,3,6,5,4,5,2,4,6,4,5,5,5,4,1,4,4,4,1,5,1,5,1,5,0,2,0,4,5,4,2,0,0.0,6,3,leguzman,0,0.0,6,3,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
53,3,3,3,3,4,3,6,5,4,4,3,4,5,3,4,3,5,5,4,3,5,5,5,3,1,4,1,4,0,1,0,2,4,4,2,0,0.0,5,3,wapiravaguens,0,0.0,5,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Average
54,0,4,0,0,0,4,5,4,3,5,0,4,6,3,3,3,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,1,capinillab,1,1.0,1,1,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",bottom of the class
55,4,3,4,4,2,3,4,4,4,3,4,3,5,3,4,4,5,5,2,3,2,3,4,1,0,5,0,5,0,0,0,0,5,5,2,0,0.0,0,1,jcrubioa,0,0.0,0,1,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
56,6,5,4,4,4,4,5,6,3,5,1,2,3,1,3,3,4,4,5,4,5,3,5,4,4,2,4,4,3,3,4,3,5,6,1,5,5.0,4,4,davidrh195,5,5.0,4,4,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
57,4,6,4,4,5,4,5,5,3,4,4,6,5,4,6,4,5,5,5,5,6,6,5,4,3,4,5,5,2,1,3,3,5,6,1,0,5.0,1,5,oacastillol,0,5.0,1,5,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Prefer not to respond,Yes,Below Average
58,4,6,5,3,5,6,6,5,5,4,3,3,5,2,5,6,6,5,5,3,5,4,6,4,1,2,2,3,0,1,1,4,4,3,1,0,0.0,0,3,leavendanoro,0,0.0,0,3,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,Yes,Below Average
59,4,1,2,0,2,3,6,4,5,4,2,5,4,2,5,5,5,5,2,4,5,1,2,6,1,5,0,5,1,3,0,4,5,4,2,0,0.0,7,3,Zeugmax,0,0.0,7,3,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
60,2,3,1,1,2,3,3,2,1,2,3,1,6,2,0,6,4,5,2,4,2,1,5,2,0,5,0,5,0,0,0,0,3,1,1,0,0.0,10,3,sagilm,0,0.0,10,3,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
61,4,6,4,5,5,5,6,5,5,6,6,6,5,3,5,5,5,5,5,5,5,5,6,3,3,4,4,4,2,3,2,3,4,4,3,0,0.0,8,4,DavidQP,0,0.0,8,4,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
62,0,3,5,3,4,3,5,4,4,6,2,4,1,2,4,5,4,4,1,1,6,3,5,1,3,2,0,4,0,3,0,2,4,3,2,6,2.0,10,3,bsgarciac,6,2.0,10,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
63,4,4,5,1,2,3,6,3,4,3,1,3,5,2,5,5,6,5,2,1,2,2,1,2,0,4,0,3,0,1,0,1,3,4,2,0,0.0,0,3,jsnarvaezb,0,0.0,0,3,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,Yes,Average
64,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,1,4,1,4,1,1,1,1,4,4,0,0,0.0,0,4,jscontrerasp,0,0.0,0,4,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",bottom of the class
65,4,3,2,0,4,3,6,3,4,5,0,4,0,5,6,6,6,4,3,4,4,5,5,4,1,4,0,5,0,2,0,2,3,3,1,0,0.0,6,2,nfmorenog,0,0.0,6,2,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Below Average
66,4,3,4,3,4,2,6,5,3,3,0,6,5,5,6,6,6,6,3,5,1,5,3,2,1,5,2,6,0,0,1,1,4,4,2,0,0.0,0,4,jcneivaa,0,0.0,0,4,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
67,1,3,3,2,2,3,2,4,2,3,2,3,6,5,5,2,3,3,1,2,2,3,2,0,1,3,0,4,0,5,1,4,6,5,3,0,0.0,0,3,djguzmanc,0,0.0,0,3,"Ingeniera de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",0,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
68,3,5,4,3,6,4,6,6,4,3,4,3,5,2,4,3,5,3,4,4,4,2,3,1,2,3,2,4,1,3,1,2,2,4,2,0,0.0,0,3,jhriverasa,0,0.0,0,3,"Ingeniera de software I, Group 1, Yury Nio, Mondays and Wednesdays",0,Hispanic/Latino,Yes,Average
69,1,2,1,0,4,1,6,5,0,3,0,1,6,2,6,4,5,3,3,5,3,4,3,2,0,3,0,2,0,0,1,0,2,2,2,0,0.0,0,1,dagofonseca,0,0.0,0,1,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
70,4,5,4,4,4,5,6,6,5,5,2,4,6,4,4,5,4,5,5,4,5,3,5,3,4,3,4,6,2,4,2,2,5,5,2,6,2.0,0,5,cdcordobaa,6,2.0,0,5,"Ingeniera de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Average
71,4,5,6,3,5,5,6,6,6,6,3,5,3,6,5,5,5,6,3,5,4,0,6,5,1,6,3,6,0,3,0,3,6,6,3,8,3.0,4,2,aldiazve,8,3.0,4,2,"Ingeniera de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",0,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?",Top 10
