,len_match,Group
24,11.0,0.0
25,2.0,0.0
26,,0.0
27,1.0,0.0
29,2.0,0.0
30,15.0,0.0
31,,0.0
39,,1.0
40,,1.0
41,,1.0
43,,1.0
44,4.0,1.0
45,,1.0
46,7.0,1.0
47,3.0,1.0
48,,1.0
49,592.0,1.0
50,53.0,1.0
51,1.0,1.0
52,17.0,1.0
53,1.0,1.0
54,1.0,1.0
55,2.0,1.0
56,51.0,1.0
57,3.0,1.0
58,7.0,1.0
59,3.0,1.0
60,,1.0
62,,1.0
63,2.0,1.0
64,3.0,1.0
65,1748.0,1.0
66,,1.0
67,,1.0
68,,1.0
69,1.0,1.0
70,,1.0
71,,1.0
72,,1.0
73,,1.0
74,76.0,1.0
75,,1.0
76,2.0,1.0
80,,1.0
81,,2.0
82,,2.0
83,,2.0
84,,2.0
85,13.0,2.0
86,,2.0
87,4.0,2.0
88,,2.0
89,,2.0
91,,2.0
92,,2.0
93,48.0,2.0
94,8.0,2.0
95,27.0,2.0
96,,2.0
97,62.0,2.0
98,6.0,2.0
99,46.0,2.0
100,1.0,2.0
101,,2.0
102,,2.0
103,3.0,2.0
104,45.0,2.0
105,,2.0
106,,2.0
107,,2.0
108,2.0,2.0
109,,2.0
110,,2.0
111,107.0,2.0
112,,2.0
113,5.0,2.0
114,8.0,2.0
115,1.0,2.0
116,,2.0
117,4.0,2.0
118,7.0,2.0
122,1.0,2.0
123,,3.0
124,64.0,3.0
125,,3.0
126,,3.0
127,3.0,3.0
128,,3.0
129,,3.0
130,,3.0
131,6.0,3.0
132,12.0,3.0
133,,3.0
135,79.0,3.0
136,79.0,3.0
137,,3.0
138,,3.0
139,1.0,3.0
140,1982.0,3.0
141,12.0,3.0
142,11.0,3.0
143,3939.0,3.0
144,1112.0,3.0
145,,3.0
146,1.0,3.0
147,,3.0
148,,3.0
149,4.0,3.0
150,28.0,3.0
151,9.0,3.0
152,,3.0
153,2.0,3.0
154,,3.0
155,,3.0
156,2.0,3.0
157,7.0,3.0
158,16.0,3.0
159,167.0,3.0
160,4.0,3.0
164,,0.0
165,,0.0
166,10.0,0.0
0,34.0,0.0
1,7.0,0.0
2,1.0,0.0
3,9.0,0.0
4,3.0,0.0
5,30.0,0.0
8,17.0,0.0
9,6.0,0.0
10,15.0,0.0
11,13.0,0.0
12,13.0,0.0
13,,0.0
15,,0.0
16,,0.0
17,,0.0
18,,0.0
19,,0.0
20,,0.0
21,,0.0
22,,0.0
23,,0.0
24,11.0,0.0
25,9.0,0.0
26,,0.0
27,13.0,0.0
29,4.0,0.0
30,15.0,0.0
31,4.0,0.0
39,,1.0
40,,1.0
41,,1.0
43,,1.0
44,4.0,1.0
45,,1.0
46,7.0,1.0
47,3.0,1.0
48,,1.0
49,225.0,1.0
51,1.0,1.0
52,21.0,1.0
53,19419.0,1.0
54,19419.0,1.0
55,11.0,1.0
56,51.0,1.0
57,10.0,1.0
58,7.0,1.0
59,5.0,1.0
60,1.0,1.0
62,4.0,1.0
63,2.0,1.0
64,8.0,1.0
65,2419.0,1.0
66,2.0,1.0
67,1.0,1.0
68,,1.0
69,26.0,1.0
70,,1.0
71,,1.0
72,12.0,1.0
73,1.0,1.0
74,76.0,1.0
75,,1.0
76,2.0,1.0
80,2.0,1.0
81,,2.0
82,,2.0
83,,2.0
84,,2.0
85,19.0,2.0
86,,2.0
87,4.0,2.0
88,,2.0
89,,2.0
91,,2.0
92,,2.0
93,60.0,2.0
94,4.0,2.0
95,27.0,2.0
96,,2.0
97,62.0,2.0
98,6.0,2.0
99,47.0,2.0
100,1.0,2.0
101,,2.0
102,,2.0
103,3.0,2.0
104,45.0,2.0
105,15.0,2.0
106,8.0,2.0
107,84.0,2.0
108,2.0,2.0
109,,2.0
110,,2.0
111,86.0,2.0
112,,2.0
113,10.0,2.0
114,11.0,2.0
115,1.0,2.0
116,2.0,2.0
117,4.0,2.0
118,16.0,2.0
122,1.0,2.0
123,,3.0
124,71.0,3.0
125,,3.0
126,,3.0
127,3.0,3.0
128,5.0,3.0
129,,3.0
130,,3.0
131,9.0,3.0
132,12.0,3.0
133,,3.0
134,,3.0
135,110.0,3.0
136,85.0,3.0
137,,3.0
138,,3.0
139,4.0,3.0
140,1986.0,3.0
141,12.0,3.0
142,14.0,3.0
143,51.0,3.0
144,1113.0,3.0
145,,3.0
146,1.0,3.0
147,,3.0
148,,3.0
149,6.0,3.0
150,10.0,3.0
151,19.0,3.0
152,,3.0
153,7.0,3.0
154,2.0,3.0
155,,3.0
156,2.0,3.0
157,10.0,3.0
158,17.0,3.0
159,28.0,3.0
160,9.0,3.0
164,,0.0
165,,0.0
166,25.0,0.0
